prompt,noise0,noise1,noise2,noise3,noise4,noise5,noise6,noise7,noise8,noise9,noise10,noise11,noise12,noise13,noise14,noise15,noise16,noise17,noise18,noise19,noise20,noise21,noise22,noise23,noise24,noise25,noise26,noise27,noise28,noise29,noise30,noise31,noise32,noise33,noise34,noise35,noise36,noise37,noise38,noise39,noise40,noise41,noise42,noise43,noise44,noise45,noise46,noise47,noise48,noise49
"goddess made of ice long hair like a waterfall, full body, horizontal symmetry!, elegant, intricate, highly detailed, fractal background, digital painting, artstation, concept art, wallpaper, smooth, sharp focus, illustration, epic light, art by kay nielsen and zeen chin and wadim kashin and sangyeob park, terada katsuya ",6.342226028442383,6.348659992218018,6.363842010498047,6.357063293457031,6.345544815063477,6.262349605560303,6.2820353507995605,6.240983486175537,6.245136260986328,6.231959342956543,6.170292854309082,6.175064563751221,6.178530216217041,6.216946125030518,6.1778178215026855,6.089452743530273,5.974514961242676,5.789813041687012,5.7618937492370605,5.750565052032471,5.784219264984131,5.85728645324707,5.827356338500977,5.778947353363037,5.578284740447998,5.381675720214844,5.353765964508057,5.131321430206299,5.204113960266113,4.862602710723877,5.007607936859131,4.963686466217041,4.928472995758057,4.429886341094971,4.676284313201904,4.796772480010986,4.5222487449646,4.716753005981445,4.653575897216797,4.501254558563232,5.117297172546387,4.920068740844727,5.172163009643555,5.411880970001221,5.190004825592041,5.264218807220459,5.169382572174072,4.871637344360352,4.684372901916504,4.597291946411133
"a dad angry at missing his flight from prague to nyc, the dad is drunk ",3.348182201385498,3.1041183471679688,3.2461905479431152,3.0364990234375,2.6810214519500732,2.8471126556396484,3.3078389167785645,5.180447101593018,5.396181583404541,5.47206449508667,5.249721050262451,4.759852409362793,4.898806095123291,4.637149810791016,4.434197902679443,4.513861656188965,4.386679649353027,4.709857940673828,4.5822978019714355,5.313854217529297,5.375036716461182,5.390860080718994,4.931364059448242,5.457237243652344,5.11542272567749,4.657564640045166,4.865189075469971,5.337665557861328,5.210152626037598,4.807507514953613,4.747227191925049,4.970493316650391,4.8303985595703125,4.67559289932251,4.818719387054443,4.872494697570801,5.031435489654541,5.056490898132324,5.035994529724121,4.813699722290039,4.593041896820068,3.995048999786377,4.224101543426514,4.324906349182129,4.150345802307129,4.367905139923096,3.7224698066711426,4.501844882965088,4.298333168029785,4.719025611877441
"mandelbrot 3 d volume fractal mandala ceramic chakra digital color stylized an ancient white bone and emerald gemstone relic, intricate engraving concept substance patern texture natural color scheme, global illumination ray tracing hdr fanart arstation by sung choi and eric pfeiffer and gabriel garza and casper konefal ",5.582611560821533,5.689340591430664,5.818482875823975,5.826333999633789,5.83524227142334,5.8509626388549805,5.868161201477051,5.765198707580566,5.7160186767578125,5.717172145843506,5.778750896453857,5.74920129776001,5.684866428375244,5.737339973449707,5.668160438537598,5.610591888427734,5.454592227935791,5.5200934410095215,5.657927513122559,5.668951034545898,5.384459495544434,5.252009868621826,4.934412956237793,4.777271270751953,4.869440078735352,4.711737632751465,4.888830184936523,5.0823750495910645,4.874478816986084,4.635732650756836,4.386178016662598,4.573166370391846,4.856973648071289,5.037654399871826,4.771482467651367,4.8165435791015625,4.693906784057617,4.9566330909729,5.056441307067871,5.143160343170166,5.258899688720703,5.19482421875,4.95318603515625,4.741279125213623,4.631082534790039,4.814237117767334,5.154565334320068,5.621615886688232,4.65554141998291,4.9392523765563965
"spongebob's house, 16 bit,",4.514291763305664,4.26938009262085,4.701293468475342,4.788658618927002,4.390288352966309,4.422430515289307,4.423644065856934,4.214409351348877,4.350590229034424,4.190671443939209,4.438145637512207,4.541167736053467,4.618552207946777,4.828648567199707,4.897485256195068,4.884705543518066,4.691461086273193,4.8837127685546875,4.8776631355285645,4.442769527435303,4.739180564880371,4.914461612701416,4.814183235168457,4.9298014640808105,4.869112491607666,4.771634101867676,4.846896171569824,4.471734046936035,4.374076843261719,4.78957986831665,4.906552791595459,5.011641502380371,4.932308673858643,4.875335693359375,5.097649097442627,5.101665496826172,5.106963157653809,5.217737197875977,4.475693702697754,4.402472496032715,4.577457427978516,4.940271377563477,4.393912315368652,4.392334938049316,4.258723735809326,4.141536235809326,3.997061252593994,4.396507740020752,4.291868209838867,4.644647598266602
"oil painting portrait of brock pierce, american flag on background, cowboy style. ",6.324313163757324,6.327446937561035,6.362755298614502,6.3180341720581055,6.147939205169678,6.082873821258545,6.447443008422852,6.1287126541137695,6.269862651824951,6.256823539733887,6.012475967407227,5.893731117248535,5.857290267944336,5.7849273681640625,5.703879356384277,5.548746585845947,5.197583198547363,4.857522487640381,5.340859413146973,5.332235813140869,5.3241448402404785,5.153270721435547,5.245351314544678,5.228915214538574,5.099610805511475,4.855772972106934,4.787897109985352,4.743902683258057,4.6894001960754395,4.60707950592041,4.6181159019470215,4.4101104736328125,4.556028842926025,4.506560802459717,4.569117546081543,4.854480743408203,4.853171348571777,4.853105545043945,4.762465953826904,4.6157660484313965,5.303441524505615,4.976834297180176,5.037808895111084,4.681915283203125,4.83836555480957,4.656890869140625,4.641580104827881,4.968614101409912,4.534915447235107,4.352001190185547
Oh no,3.359811305999756,3.720271110534668,3.7563748359680176,3.263101100921631,3.7966198921203613,2.917548418045044,3.495161533355713,4.599217891693115,4.1873779296875,4.222402095794678,4.044079303741455,4.170984268188477,4.5107293128967285,4.376847267150879,4.992609977722168,4.871152400970459,4.917426586151123,4.568395137786865,4.543646812438965,4.75900411605835,4.913555145263672,4.998916149139404,4.728858470916748,4.666684150695801,4.434582233428955,4.551773548126221,4.371391296386719,4.623944282531738,4.665335178375244,4.49281644821167,4.231940746307373,4.12232780456543,4.376359939575195,4.516583442687988,4.866847515106201,4.65081787109375,4.518580913543701,4.641770839691162,4.97200870513916,4.738331317901611,4.643749237060547,4.883914947509766,4.349419116973877,4.360785484313965,4.537361145019531,3.8380846977233887,4.301204204559326,3.745626926422119,3.6585636138916016,3.900813579559326
The last thing a human sees before death,4.485930919647217,3.740586757659912,4.23748254776001,4.465173244476318,4.478432655334473,4.614880084991455,4.621391773223877,4.616385459899902,4.97473669052124,5.0531439781188965,5.349289894104004,5.6824846267700195,5.464725971221924,5.085981845855713,5.1963372230529785,4.960227966308594,5.325082302093506,4.776790142059326,4.792031288146973,4.732059955596924,5.1607537269592285,5.0192437171936035,4.946520805358887,4.546725749969482,4.6219611167907715,4.938125133514404,4.7594895362854,5.523536682128906,5.230539321899414,5.416975021362305,4.893442153930664,5.2666449546813965,5.175548553466797,4.1868391036987305,3.9822587966918945,4.118948936462402,3.881265163421631,4.032782077789307,4.363579273223877,4.275331974029541,4.686817646026611,4.72966194152832,4.783181667327881,4.299339771270752,4.702681064605713,4.938047885894775,4.881765365600586,4.920244216918945,4.878113746643066,4.9688873291015625
Steve Buscemi as Willy Wonka,4.204015254974365,4.087522029876709,4.333338737487793,5.894223690032959,5.8190083503723145,5.736954689025879,5.73419713973999,5.763331413269043,5.80359411239624,5.847527027130127,5.793736457824707,5.801462650299072,5.710089206695557,5.673759460449219,5.708204746246338,5.5434346199035645,5.84202241897583,5.704656600952148,6.171751499176025,6.15678071975708,6.322132110595703,5.722066879272461,4.921782493591309,4.96328592300415,5.383022308349609,5.380433082580566,5.5879130363464355,5.6399993896484375,5.417677879333496,5.543826103210449,5.727909088134766,5.514205455780029,5.575170040130615,5.310024261474609,5.1278076171875,4.913895606994629,5.042998313903809,5.085716247558594,4.660336494445801,4.596784591674805,4.558560371398926,4.508794784545898,4.381787300109863,4.9056596755981445,4.895746231079102,5.0430450439453125,4.999770641326904,4.98739767074585,5.002964973449707,4.812860012054443
"very old and very detailed great canvas with wonderful gradient from warm to cold tones, multilayer last supper johannes itten and hiroshi nagai colors,, pattern of escher style 3 6 0 panorama with hieronymus bosch style bubbles, contrast of light and shadows, unfinished,, digital 4 k, super resolution ",5.8422698974609375,6.109808444976807,6.087535858154297,5.809947490692139,5.760172367095947,5.843820095062256,5.982426643371582,5.76515531539917,5.871977806091309,5.807681560516357,5.922003746032715,5.76265811920166,5.5746870040893555,5.7062835693359375,5.641475677490234,5.472397327423096,5.540590286254883,5.491324424743652,5.619415283203125,5.756091117858887,5.472779750823975,5.551131248474121,5.104673385620117,4.3795390129089355,4.428169250488281,4.593751430511475,4.946585655212402,4.691592216491699,4.615179538726807,4.199743747711182,4.883006572723389,4.860885143280029,4.70604944229126,4.480720043182373,4.1854448318481445,4.33980655670166,4.067362308502197,4.1146979331970215,4.6635565757751465,4.883976936340332,4.543622016906738,4.8316450119018555,5.161680698394775,5.155462265014648,5.626142978668213,5.69313907623291,5.483994483947754,3.8827905654907227,4.229841709136963,4.047227382659912
Monkey Pointing a Gun at a Computer Meme,2.448294162750244,2.0594279766082764,2.0489566326141357,2.1389734745025635,2.31813383102417,2.158541202545166,2.0038371086120605,2.045142889022827,2.332949638366699,2.1941442489624023,2.147505044937134,2.4908642768859863,2.5060977935791016,5.507485866546631,4.635924816131592,4.464331150054932,4.360653400421143,4.303038597106934,4.25175142288208,4.400570869445801,4.533761501312256,4.744297027587891,4.911886215209961,4.348590850830078,4.950728893280029,5.671487808227539,5.264529705047607,4.85711669921875,4.851635932922363,4.812778472900391,4.938013553619385,4.641716003417969,5.221761226654053,4.880760669708252,4.859596252441406,4.6464128494262695,4.491858959197998,4.6219377517700195,4.566342830657959,4.6982221603393555,4.326911926269531,4.660202980041504,4.741289138793945,4.788236141204834,4.735445976257324,4.786581516265869,4.649753093719482,4.343282222747803,4.399754047393799,4.570526599884033
